Experiment,Implementation,k,Time [s],InputSize,BlockSize
Baselines,CPU,1,0.10991000200010603,"(256, 170)",
Baselines,CPU,2,0.031017281999083934,"(256, 170)",
Baselines,CPU,3,0.03399758799787378,"(256, 170)",
Baselines,CPU,4,0.03680696700030239,"(256, 170)",
Baselines,CPU,5,0.04302662500049337,"(256, 170)",
Baselines,CPU,6,0.0459718519996386,"(256, 170)",
Baselines,CPU,7,0.049154411997733405,"(256, 170)",
Baselines,CPU,8,0.05187992300125188,"(256, 170)",
Baselines,CPU,9,0.05588232000081916,"(256, 170)",
Baselines,CPU,10,0.05782553799872403,"(256, 170)",
Baselines,CPU,12,0.06505069500053651,"(256, 170)",
Baselines,CPU,14,0.1288075789998402,"(256, 170)",
Baselines,CPU,16,0.13917830499849515,"(256, 170)",
Baselines,CPU,18,0.1392031079994922,"(256, 170)",
Baselines,CPU,20,0.13071068100180128,"(256, 170)",
Baselines,CPU,30,0.1337767509976402,"(256, 170)",
Baselines,CPU,40,0.13118358300198452,"(256, 170)",
Baselines,CPU,50,0.2013871109993488,"(256, 170)",
Baselines,CPU,60,0.19287722499939264,"(256, 170)",
Baselines,CPU,70,0.24868801400225493,"(256, 170)",
Baselines,CPU,80,0.215818266999122,"(256, 170)",
Baselines,CPU,90,0.21536105799896177,"(256, 170)",
Baselines,CPU,100,0.23115558100107592,"(256, 170)",
Baselines,CPU,110,0.2199442849996558,"(256, 170)",
Baselines,CPU,120,0.2530769769982726,"(256, 170)",
Baselines,CPU,130,0.2854426450030587,"(256, 170)",
Baselines,CPU,140,0.30217152100158273,"(256, 170)",
Baselines,CPU,150,0.31987938200109056,"(256, 170)",
Baselines,CPU,160,0.3406998310019844,"(256, 170)",
Baselines,CuPy dot,1,0.2052847680002451,"(256, 170)",
Baselines,CuPy dot,2,0.21792668834328652,"(256, 170)",
Baselines,CuPy dot,3,0.2190125760436058,"(256, 170)",
Baselines,CuPy dot,4,0.20114473643898964,"(256, 170)",
Baselines,CuPy dot,5,0.20365932849049567,"(256, 170)",
Baselines,CuPy dot,6,0.20948396833240987,"(256, 170)",
Baselines,CuPy dot,7,0.19351120065152644,"(256, 170)",
Baselines,CuPy dot,8,0.19799414449930192,"(256, 170)",
Baselines,CuPy dot,9,0.1989459845125675,"(256, 170)",
Baselines,CuPy dot,10,0.20903680035471917,"(256, 170)",
Baselines,CuPy dot,12,0.2061209283173084,"(256, 170)",
Baselines,CuPy dot,14,0.209666688144207,"(256, 170)",
Baselines,CuPy dot,16,0.20972857624292374,"(256, 170)",
Baselines,CuPy dot,18,0.1886284802556038,"(256, 170)",
Baselines,CuPy dot,20,0.19639020839333537,"(256, 170)",
Baselines,CuPy dot,30,0.19397177602350713,"(256, 170)",
Baselines,CuPy dot,40,0.19127456022799016,"(256, 170)",
Baselines,CuPy dot,50,0.19707449640333652,"(256, 170)",
Baselines,CuPy dot,60,0.19248841658234594,"(256, 170)",
Baselines,CuPy dot,70,0.18581824021041393,"(256, 170)",
Baselines,CuPy dot,80,0.1922781121581793,"(256, 170)",
Baselines,CuPy dot,90,0.18604038424789907,"(256, 170)",
Baselines,CuPy dot,100,0.18544297629594803,"(256, 170)",
Baselines,CuPy dot,110,0.18812284812331198,"(256, 170)",
Baselines,CuPy dot,120,0.18726953588426115,"(256, 170)",
Baselines,CuPy dot,130,0.20325961604714393,"(256, 170)",
Baselines,CuPy dot,140,0.21140585616230964,"(256, 170)",
Baselines,CuPy dot,150,0.18699804811179638,"(256, 170)",
Baselines,CuPy dot,160,0.1884430721104145,"(256, 170)",
Baselines,CuPy broadcast,1,0.11461104004830124,"(256, 170)",
Baselines,CuPy broadcast,2,0.11859616028517485,"(256, 170)",
Baselines,CuPy broadcast,3,0.1311474239975214,"(256, 170)",
Baselines,CuPy broadcast,4,0.11641868832707405,"(256, 170)",
Baselines,CuPy broadcast,5,0.1197694722339511,"(256, 170)",
Baselines,CuPy broadcast,6,0.11525427222251892,"(256, 170)",
Baselines,CuPy broadcast,7,0.11562140832096338,"(256, 170)",
Baselines,CuPy broadcast,8,0.12178006432205439,"(256, 170)",
Baselines,CuPy broadcast,9,0.11951632017642261,"(256, 170)",
